msno,user_tenure,subscription_status,monthly_hours,cum_hours,auto_renewal,transaction_date,membership_expire_date,price
++nqzXpLn1fFKdCWEO5X5ufg5RJV9FgPMsKuHrnwk1I=,0,active,39.82628027777778,0.0,0.0,20150215.0,20150317.0,149.0
++nqzXpLn1fFKdCWEO5X5ufg5RJV9FgPMsKuHrnwk1I=,1,active,16.865030277777777,39.82628027777778,0.0,20150320.0,20150419.0,149.0
++nqzXpLn1fFKdCWEO5X5ufg5RJV9FgPMsKuHrnwk1I=,2,active,20.236815,56.69131055555555,0.0,20150421.0,20150521.0,149.0
++nqzXpLn1fFKdCWEO5X5ufg5RJV9FgPMsKuHrnwk1I=,3,active,17.657869166666668,76.92812555555555,0.0,20150522.0,20150621.0,149.0
++nqzXpLn1fFKdCWEO5X5ufg5RJV9FgPMsKuHrnwk1I=,4,active,11.805866944444444,94.58599472222222,0.0,20150621.0,20150721.0,149.0
++nqzXpLn1fFKdCWEO5X5ufg5RJV9FgPMsKuHrnwk1I=,5,active,2.0285752777777777,106.39186166666667,0.0,,,149.0
++nqzXpLn1fFKdCWEO5X5ufg5RJV9FgPMsKuHrnwk1I=,6,paused,0.0,108.42043694444445,0.0,,,149.0
++nqzXpLn1fFKdCWEO5X5ufg5RJV9FgPMsKuHrnwk1I=,7,active,13.498008611111112,108.42043694444445,0.0,20150919.0,20151019.0,149.0
++nqzXpLn1fFKdCWEO5X5ufg5RJV9FgPMsKuHrnwk1I=,8,active,0.9710874999999999,121.91844555555555,0.0,,,149.0
++nqzXpLn1fFKdCWEO5X5ufg5RJV9FgPMsKuHrnwk1I=,9,churn,0.0627011111111111,122.88953305555556,0.0,,,149.0
++s7jWRVn1x0cJXvWHeuZ9fscw4dOTGtSLJ1rptkTys=,0,active,75.11225444444445,0.0,0.0,20170104.0,20170205.0,149.0
++s7jWRVn1x0cJXvWHeuZ9fscw4dOTGtSLJ1rptkTys=,1,active,46.44471027777778,75.11225444444445,0.0,20170206.0,20170308.0,149.0
+11B25EvZGuHP6rkQ5/C56dlYxN79WyGSjiCoHK7axU=,0,active,0.0872425,0.0,1.0,20150804.0,20150904.0,99.0
+11B25EvZGuHP6rkQ5/C56dlYxN79WyGSjiCoHK7axU=,1,active,0.0,0.0872425,1.0,20150904.0,20151004.0,99.0
+11B25EvZGuHP6rkQ5/C56dlYxN79WyGSjiCoHK7axU=,2,active,0.0,0.0872425,1.0,20151004.0,20151104.0,99.0
+11B25EvZGuHP6rkQ5/C56dlYxN79WyGSjiCoHK7axU=,3,active,24.45499972222222,0.0872425,1.0,20151104.0,20151204.0,99.0
+11B25EvZGuHP6rkQ5/C56dlYxN79WyGSjiCoHK7axU=,4,active,1.6106811111111108,24.542242222222217,1.0,20151204.0,20160104.0,99.0
+11B25EvZGuHP6rkQ5/C56dlYxN79WyGSjiCoHK7axU=,5,active,10.498539166666667,26.152923333333327,1.0,20160104.0,20160204.0,99.0
+11B25EvZGuHP6rkQ5/C56dlYxN79WyGSjiCoHK7axU=,6,active,1.1791027777777778,36.651462499999994,1.0,20160204.0,20160304.0,99.0
+11B25EvZGuHP6rkQ5/C56dlYxN79WyGSjiCoHK7axU=,7,active,0.0879305555555555,37.83056527777777,1.0,20160304.0,20160404.0,99.0
+11B25EvZGuHP6rkQ5/C56dlYxN79WyGSjiCoHK7axU=,8,active,0.0,37.91849583333333,1.0,20160404.0,20160504.0,99.0
+11B25EvZGuHP6rkQ5/C56dlYxN79WyGSjiCoHK7axU=,9,active,0.1486613888888889,37.91849583333333,1.0,20160504.0,20160604.0,99.0
+11B25EvZGuHP6rkQ5/C56dlYxN79WyGSjiCoHK7axU=,10,active,0.2155527777777777,38.06715722222222,1.0,20160604.0,20160704.0,99.0
+11B25EvZGuHP6rkQ5/C56dlYxN79WyGSjiCoHK7axU=,11,active,0.7464266666666666,38.282709999999994,1.0,20160704.0,20160804.0,99.0
+11B25EvZGuHP6rkQ5/C56dlYxN79WyGSjiCoHK7axU=,12,active,0.3087772222222222,39.02913666666666,1.0,20160804.0,20160904.0,99.0
+11B25EvZGuHP6rkQ5/C56dlYxN79WyGSjiCoHK7axU=,13,active,0.2388369444444444,39.337913888888885,1.0,20160904.0,20161004.0,99.0
+11B25EvZGuHP6rkQ5/C56dlYxN79WyGSjiCoHK7axU=,14,active,1.5392841666666666,39.57675083333333,1.0,20161004.0,20161104.0,99.0
+11B25EvZGuHP6rkQ5/C56dlYxN79WyGSjiCoHK7axU=,15,active,8.027769444444445,41.116035,1.0,20161104.0,20161204.0,99.0
